R(m)	|  c(m)	|  Twist (deg)|  Airfoil
0.003470 	 0.002973 	 13.000000 	circ_sim_notrip_Cd1p2
0.007410 	 0.003009 	 13.000000 	circ_sim_notrip_Cd1p2
0.011350 	 0.006523 	 13.000000 	N0028_sim_trip-t0p1-b0p1
0.015290 	 0.009567 	 12.923851 	N0028_sim_trip-t0p1-b0p1
0.019230 	 0.009301 	 12.311554 	N0028_sim_trip-t0p1-b0p1
0.023170 	 0.009034 	 11.699257 	N0028_sim_trip-t0p1-b0p1
0.027110 	 0.008768 	 11.086959 	N0028_sim_trip-t0p1-b0p1
0.031050 	 0.008502 	 10.484459 	N0028_sim_trip-t0p1-b0p1
0.034990 	 0.008236 	 9.898784 	N0028_sim_trip-t0p1-b0p1
0.038930 	 0.007970 	 9.313108 	N0028_sim_trip-t0p1-b0p1
0.042870 	 0.007703 	 8.727432 	N0028_sim_trip-t0p1-b0p1
0.046810 	 0.007422 	 8.127987 	N0028_sim_trip-t0p1-b0p1
0.050750 	 0.007131 	 7.519799 	N0028_sim_trip-t0p1-b0p1
0.054690 	 0.006840 	 6.911611 	N0022_sim_trip-t0p1-b0p1
0.058630 	 0.006549 	 6.303423 	N0022_sim_trip-t0p1-b0p1
0.062570 	 0.006279 	 5.713919 	N0022_sim_trip-t0p1-b0p1
0.066510 	 0.006013 	 5.128243 	N0022_sim_trip-t0p1-b0p1
0.070450 	 0.005747 	 4.542568 	N0018_sim_trip-t0p1-b0p1
0.074390 	 0.005478 	 3.954932 	N0018_sim_trip-t0p1-b0p1
0.078330 	 0.005186 	 3.342635 	N0018_sim_trip-t0p1-b0p1
0.082270 	 0.004893 	 2.730338 	N0014_sim_trip-t0p1-b0p1
0.086210 	 0.004600 	 2.118041 	N0014_sim_trip-t0p1-b0p1
0.090150 	 0.004321 	 1.508559 	N0014_sim_trip-t0p1-b0p1
0.094090 	 0.004073 	 0.905135 	N0014_sim_trip-t0p1-b0p1
0.098030 	 0.003824 	 0.301712 	N0014_sim_trip-t0p1-b0p1
